"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.Feedback on our meeting","2.Feedback on Toastmaster","3.Feedback on Table Topic Master","4.Feedback on Evaluation Team","5.Feedback on 1st Speaker","6.Feedback on 2nd Speaker",
"10","25-Nov-2020 20:27:16","25-Nov-2020 20:35:37","501","中国","北京市","北京市","","流程规划，各司其职，和蔼可亲，感受很好，会推荐朋友来参加","温柔可亲，爱Bonnie","","Frank 的点评很专业 建议到位","吐字清晰会更好","Bill的点评很棒",
"9","25-Nov-2020 20:27:19","25-Nov-2020 20:32:41","322","中国","北京市","北京市","","轻松，有趣。","优雅，温柔，台风很好。","好","幽默，认真。","认真准备，内容详实。给大家带来知识。","活泼",
"8","25-Nov-2020 20:27:00","25-Nov-2020 20:31:15","255","日本","","","","期待主席多表现多出场","厂牌必须厂牌","主题非常好，能准备的更好就超赞了。","如沐春风","赞","",
"7","25-Nov-2020 20:27:20","25-Nov-2020 20:30:02","162","中国","北京市","北京市","","好","非常好","好 问题感觉可以更切题和经得住推敲 哈哈 但真的很好 很有范儿","非常好 时间管很幽默","学习了很多 全是干货！台上风格很好 不过可能是我以前听过一遍龟兔赛跑了哈哈","很好赞davi 时间keyij控制更好",
"6","25-Nov-2020 20:26:57","25-Nov-2020 20:29:43","166","中国","北京市","北京市","","高质量，会议内容很有内涵","","太喜欢这个主题了～有很深入的思考，有内涵，可以让我们去思考生活和工作","","原来手语这么有意思","",
"5","25-Nov-2020 20:27:00","25-Nov-2020 20:29:16","136","中国","北京市","北京市","","非常充实","又漂亮又有气场","完美","专业","完美","很好",
"4","25-Nov-2020 20:27:08","25-Nov-2020 20:29:10","122","中国","北京市","北京市","","很轻松","主持人很美","前期声音比较小","即兴点评声音很小","很有趣啊，想学手语","恭喜完成pathway",
"3","25-Nov-2020 20:27:10","25-Nov-2020 20:29:04","114","中国","北京市","北京市","","很好，很有内容，学到很多","连贯","每个人都提供了很多内容","不错不错","学到了很多手语内容","还想再了解一些pathway",
"2","25-Nov-2020 20:27:13","25-Nov-2020 20:29:02","109","中国","北京市","北京市","","有时间掌控感 氛围开放很舒服","亲和友善自然","有点紧张","点评很棒 总结回顾","有互动感","温馨",
"1","25-Nov-2020 20:27:01","25-Nov-2020 20:28:22","81","中国","北京市","北京市","","好","串场很好","不要太依赖稿子和假设观众的知识","多提些批评建议","填充词太多","注意时间和节奏的把控",
